Timestamp,Filename,Original Size (KB),Compressed Size (KB),Savings (%),Status
2026-05-21 12:11:02,4sgm-dot-com.jpg,95.43,60.05,37.08,Success
2026-05-21 12:11:04,4sgm-wholesale-banner.jpg,142.00,49.27,65.30,Success
2026-05-21 12:11:06,Apparel-1060-830.jpg,230.05,111.64,51.47,Success
2026-05-21 12:11:07,Apparel-1060x830.jpg,230.05,111.64,51.47,Success
2026-05-21 12:11:09,Apparel-1920-500.jpg,261.77,139.76,46.61,Success
2026-05-21 12:11:10,Apparel-1920-700.jpg,261.77,139.76,46.61,Success
2026-05-21 12:11:11,Apparel-1920x500.jpg,261.77,139.76,46.61,Success
2026-05-21 12:11:14,Apparel-1920x700.jpg,261.77,184.79,29.41,Success
2026-05-21 12:11:15,Apparel-500-380.jpg,64.44,51.97,19.35,Success
2026-05-21 12:11:16,Apparel-500x380.jpg,64.44,51.97,19.35,Success
2026-05-21 12:11:16,Apparel-520-400.jpg,67.72,35.07,48.22,Success
2026-05-21 12:11:17,Apparel-520x400.jpg,67.72,35.07,48.22,Success
2026-05-21 12:11:18,autumn-sales-520x400.jpg,101.51,65.23,35.74,Success
2026-05-21 12:11:20,Baby-Products-1060-830.jpg,228.63,96.01,58.01,Success
2026-05-21 12:11:21,Baby-Products-1060x830.jpg,228.63,96.01,58.01,Success
2026-05-21 12:11:23,Baby-Products-1920-500.jpg,241.82,112.80,53.35,Success
2026-05-21 12:11:24,Baby-Products-1920-700.jpg,241.82,112.80,53.35,Success
2026-05-21 12:11:25,Baby-Products-1920x500.jpg,241.82,112.80,53.35,Success
2026-05-21 12:11:26,Baby-Products-500-380.jpg,72.05,48.95,32.06,Success
2026-05-21 12:11:26,Baby-Products-500x380.jpg,72.05,48.95,32.06,Success
2026-05-21 12:11:27,Baby-Products-520-400.jpg,77.45,34.64,55.27,Success
2026-05-21 12:11:28,Baby-Products-520x400.jpg,77.45,34.64,55.27,Success
2026-05-21 12:11:30,Bags-1060-830.jpg,226.09,92.42,59.12,Success
2026-05-21 12:11:30,Bags-1060x830.jpg,226.09,92.42,59.12,Success
2026-05-21 12:11:33,Bags-1920-500.jpg,213.05,99.77,53.17,Success
2026-05-21 12:11:35,Bags-1920-700.jpg,203.45,85.80,57.83,Success
2026-05-21 12:11:36,Bags-1920x500.jpg,213.05,99.77,53.17,Success
2026-05-21 12:11:37,Bags-1920x700.jpg,203.45,85.80,57.83,Success
2026-05-21 12:11:38,Bags-500-380.jpg,60.25,36.92,38.72,Success
2026-05-21 12:11:38,Bags-500x380.jpg,60.25,36.92,38.72,Success
2026-05-21 12:11:39,Bags-520-400.jpg,64.82,26.30,59.43,Success
2026-05-21 12:11:41,Baskets-Storage-Racks-1060-830.jpg,193.95,74.10,61.80,Success
2026-05-21 12:11:41,Baskets-Storage-Racks-1060x830.jpg,193.95,74.10,61.80,Success
2026-05-21 12:11:44,Baskets-Storage-Racks-1920-500.jpg,174.70,79.23,54.65,Success
2026-05-21 12:11:45,Baskets-Storage-Racks-1920-700.jpg,174.70,79.23,54.65,Success
2026-05-21 12:11:45,Baskets-Storage-Racks-1920x500.jpg,174.70,79.23,54.65,Success
2026-05-21 12:11:47,Baskets-Storage-Racks-1920x700.jpg,174.70,86.19,50.67,Success
2026-05-21 12:11:48,Baskets-Storage-Racks-500-380.jpg,62.73,42.88,31.65,Success
2026-05-21 12:11:49,Baskets-Storage-Racks-500x380.jpg,62.73,42.88,31.65,Success
2026-05-21 12:11:50,Baskets-Storage-Racks-520-400.jpg,67.11,29.94,55.38,Success
2026-05-21 12:11:52,Bath-products-1060-830.jpg,173.81,67.01,61.44,Success
2026-05-21 12:11:52,Bath-products-1060x830.jpg,173.81,67.01,61.44,Success
2026-05-21 12:11:54,Bath-products-1920-500.jpg,155.68,67.63,56.56,Success
2026-05-21 12:11:56,Bath-products-1920-700.jpg,171.97,72.20,58.02,Success
2026-05-21 12:11:57,Bath-products-1920x500.jpg,155.68,67.63,56.56,Success
2026-05-21 12:11:57,Bath-products-1920x700.jpg,171.97,72.20,58.02,Success
2026-05-21 12:11:58,Bath-products-500-380.jpg,53.21,38.95,26.81,Success
2026-05-21 12:11:59,Bath-products-500x380.jpg,53.21,38.95,26.81,Success
2026-05-21 12:12:00,Bath-products-520-400.jpg,57.20,27.07,52.68,Success
2026-05-21 12:12:01,Bath-products-520x400.jpg,57.20,27.07,52.68,Success
2026-05-21 12:12:03,Books-1060-830.jpg,244.27,96.21,60.61,Success
2026-05-21 12:12:03,Books-1060x830.jpg,244.27,96.21,60.61,Success
2026-05-21 12:12:06,Books-1920-500.jpg,200.90,92.37,54.02,Success
2026-05-21 12:12:06,Books-1920-700.jpg,200.90,92.37,54.02,Success
2026-05-21 12:12:07,Books-1920x500.jpg,200.90,92.37,54.02,Success
2026-05-21 12:12:09,Books-1920x700.jpg,200.90,92.66,53.88,Success
2026-05-21 12:12:10,Books-500-380.jpg,76.41,50.18,34.32,Success
2026-05-21 12:12:11,Books-500x380.jpg,76.41,50.18,34.32,Success
2026-05-21 12:12:12,Books-520-400.jpg,80.58,36.05,55.27,Success
2026-05-21 12:12:12,Books-520x400.jpg,80.58,36.05,55.27,Success
2026-05-21 12:12:14,Christmas-1060-830.jpg,233.63,87.19,62.68,Success
2026-05-21 12:12:15,Christmas-1060x830.jpg,233.63,87.19,62.68,Success
2026-05-21 12:12:17,Christmas-1920-500.jpg,202.76,91.03,55.11,Success
2026-05-21 12:12:20,Christmas-1920-700.jpg,203.01,90.94,55.20,Success
2026-05-21 12:12:21,Christmas-1920x500.jpg,202.76,91.03,55.11,Success
2026-05-21 12:12:23,Christmas-1920x700.jpg,203.01,99.42,51.03,Success
2026-05-21 12:12:48,christmas-2023-09B.png,4771.16,1092.87,77.09,Success
2026-05-21 12:12:49,Christmas-500-380.jpg,70.06,48.29,31.08,Success
2026-05-21 12:12:49,Christmas-500x380.jpg,70.06,48.29,31.08,Success
2026-05-21 12:12:50,Christmas-520-400.jpg,76.12,30.13,60.42,Success
2026-05-21 12:12:50,Christmas-520x400.jpg,76.12,30.13,60.42,Success
2026-05-21 12:12:53,Cleaning-Tools-Accessories-1060-830.jpg,270.60,120.78,55.37,Success
2026-05-21 12:12:55,Cleaning-Tools-Accessories-1920-500.jpg,276.03,133.25,51.73,Success
2026-05-21 12:12:56,Cleaning-Tools-Accessories-1920-700.jpg,276.03,133.25,51.73,Success
2026-05-21 12:12:57,Cleaning-Tools-Accessories-1920x500.jpg,276.03,133.25,51.73,Success
